id,gender,age,Mask,Class,img
004201,1,0,m,3,input/data/train/images/004201_female_Asian_18/mask1.jpg
004201,1,0,m,3,input/data/train/images/004201_female_Asian_18/mask5.jpg
004201,1,0,m,3,input/data/train/images/004201_female_Asian_18/mask3.jpg
003009,1,0,n,15,input/data/train/images/003009_female_Asian_20/normal.jpg
003009,1,0,i,9,input/data/train/images/003009_female_Asian_20/incorrect_mask.jpg
003009,1,0,m,3,input/data/train/images/003009_female_Asian_20/mask2.jpg
003009,1,0,m,3,input/data/train/images/003009_female_Asian_20/mask4.jpg
003009,1,0,m,3,input/data/train/images/003009_female_Asian_20/mask1.jpg
003009,1,0,m,3,input/data/train/images/003009_female_Asian_20/mask5.jpg
003009,1,0,m,3,input/data/train/images/003009_female_Asian_20/mask3.jpg
006355,1,0,n,15,input/data/train/images/006355_female_Asian_18/normal.jpg
006355,1,0,i,9,input/data/train/images/006355_female_Asian_18/incorrect_mask.jpg
006355,1,0,m,3,input/data/train/images/006355_female_Asian_18/mask2.jpg
006355,1,0,m,3,input/data/train/images/006355_female_Asian_18/mask4.jpg
006355,1,0,m,3,input/data/train/images/006355_female_Asian_18/mask1.jpg
006355,1,0,m,3,input/data/train/images/006355_female_Asian_18/mask5.jpg
006355,1,0,m,3,input/data/train/images/006355_female_Asian_18/mask3.jpg
003113,1,0,n,15,input/data/train/images/003113_female_Asian_20/normal.jpg
003113,1,0,i,9,input/data/train/images/003113_female_Asian_20/incorrect_mask.jpg
003113,1,0,m,3,input/data/train/images/003113_female_Asian_20/mask2.jpg
003113,1,0,m,3,input/data/train/images/003113_female_Asian_20/mask4.jpg
003113,1,0,m,3,input/data/train/images/003113_female_Asian_20/mask1.jpg
003113,1,0,m,3,input/data/train/images/003113_female_Asian_20/mask5.jpg
003113,1,0,m,3,input/data/train/images/003113_female_Asian_20/mask3.jpg
003523,0,1,n,13,input/data/train/images/003523_male_Asian_59/normal.jpg
003523,0,1,i,7,input/data/train/images/003523_male_Asian_59/incorrect_mask.jpg
003523,0,1,m,1,input/data/train/images/003523_male_Asian_59/mask2.jpg
003523,0,1,m,1,input/data/train/images/003523_male_Asian_59/mask4.jpg
003523,0,1,m,1,input/data/train/images/003523_male_Asian_59/mask1.jpg
003523,0,1,m,1,input/data/train/images/003523_male_Asian_59/mask5.jpg
003523,0,1,m,1,input/data/train/images/003523_male_Asian_59/mask3.jpg
004322,1,2,n,17,input/data/train/images/004322_female_Asian_60/normal.jpg
004322,1,2,i,11,input/data/train/images/004322_female_Asian_60/incorrect_mask.jpg
004322,1,2,m,5,input/data/train/images/004322_female_Asian_60/mask2.jpg
004322,1,2,m,5,input/data/train/images/004322_female_Asian_60/mask4.jpg
004322,1,2,m,5,input/data/train/images/004322_female_Asian_60/mask1.jpg
004322,1,2,m,5,input/data/train/images/004322_female_Asian_60/mask5.jpg
004322,1,2,m,5,input/data/train/images/004322_female_Asian_60/mask3.jpg
003191,1,0,n,15,input/data/train/images/003191_female_Asian_18/normal.jpg
003191,1,0,i,9,input/data/train/images/003191_female_Asian_18/incorrect_mask.jpg
003191,1,0,m,3,input/data/train/images/003191_female_Asian_18/mask2.jpg
003191,1,0,m,3,input/data/train/images/003191_female_Asian_18/mask4.jpg
003191,1,0,m,3,input/data/train/images/003191_female_Asian_18/mask1.jpg
003191,1,0,m,3,input/data/train/images/003191_female_Asian_18/mask5.jpg
003191,1,0,m,3,input/data/train/images/003191_female_Asian_18/mask3.jpg
000621,1,1,n,16,input/data/train/images/000621_female_Asian_57/normal.jpg
000621,1,1,i,10,input/data/train/images/000621_female_Asian_57/incorrect_mask.jpg
000621,1,1,m,4,input/data/train/images/000621_female_Asian_57/mask2.jpg
000621,1,1,m,4,input/data/train/images/000621_female_Asian_57/mask4.jpg
000621,1,1,m,4,input/data/train/images/000621_female_Asian_57/mask1.jpg
000621,1,1,m,4,input/data/train/images/000621_female_Asian_57/mask5.jpg
000621,1,1,m,4,input/data/train/images/000621_female_Asian_57/mask3.jpg
001498,1,1,n,16,input/data/train/images/001498_female_Asian_59/normal.jpg
001498,1,1,i,10,input/data/train/images/001498_female_Asian_59/incorrect_mask.jpg
001498,1,1,m,4,input/data/train/images/001498_female_Asian_59/mask2.jpg
001498,1,1,m,4,input/data/train/images/001498_female_Asian_59/mask4.jpg
001498,1,1,m,4,input/data/train/images/001498_female_Asian_59/mask1.jpg
001498,1,1,m,4,input/data/train/images/001498_female_Asian_59/mask5.jpg
001498,1,1,m,4,input/data/train/images/001498_female_Asian_59/mask3.jpg
003457,1,1,n,16,input/data/train/images/003457_female_Asian_45/normal.jpg
003457,1,1,i,10,input/data/train/images/003457_female_Asian_45/incorrect_mask.jpg
003457,1,1,m,4,input/data/train/images/003457_female_Asian_45/mask2.jpg
003457,1,1,m,4,input/data/train/images/003457_female_Asian_45/mask4.jpg
003457,1,1,m,4,input/data/train/images/003457_female_Asian_45/mask1.jpg
003457,1,1,m,4,input/data/train/images/003457_female_Asian_45/mask5.jpg
003457,1,1,m,4,input/data/train/images/003457_female_Asian_45/mask3.jpg
001751,0,1,n,13,input/data/train/images/001751_male_Asian_51/normal.jpg
001751,0,1,i,7,input/data/train/images/001751_male_Asian_51/incorrect_mask.jpg
001751,0,1,m,1,input/data/train/images/001751_male_Asian_51/mask2.jpg
001751,0,1,m,1,input/data/train/images/001751_male_Asian_51/mask4.jpg
001751,0,1,m,1,input/data/train/images/001751_male_Asian_51/mask1.jpg
001751,0,1,m,1,input/data/train/images/001751_male_Asian_51/mask5.jpg
001751,0,1,m,1,input/data/train/images/001751_male_Asian_51/mask3.jpg
006536,1,0,n,15,input/data/train/images/006536_female_Asian_19/normal.jpg
006536,1,0,i,9,input/data/train/images/006536_female_Asian_19/incorrect_mask.jpg
006536,1,0,m,3,input/data/train/images/006536_female_Asian_19/mask2.jpg
006536,1,0,m,3,input/data/train/images/006536_female_Asian_19/mask4.jpg
006536,1,0,m,3,input/data/train/images/006536_female_Asian_19/mask1.jpg
006536,1,0,m,3,input/data/train/images/006536_female_Asian_19/mask5.jpg
006536,1,0,m,3,input/data/train/images/006536_female_Asian_19/mask3.jpg
001787,1,0,n,15,input/data/train/images/001787_female_Asian_26/normal.jpg
001787,1,0,i,9,input/data/train/images/001787_female_Asian_26/incorrect_mask.jpg
001787,1,0,m,3,input/data/train/images/001787_female_Asian_26/mask2.jpg
001787,1,0,m,3,input/data/train/images/001787_female_Asian_26/mask4.jpg
001787,1,0,m,3,input/data/train/images/001787_female_Asian_26/mask1.jpg
001787,1,0,m,3,input/data/train/images/001787_female_Asian_26/mask5.jpg
001787,1,0,m,3,input/data/train/images/001787_female_Asian_26/mask3.jpg
006545,1,0,n,15,input/data/train/images/006545_female_Asian_20/normal.jpg
006545,1,0,i,9,input/data/train/images/006545_female_Asian_20/incorrect_mask.jpg
006545,1,0,m,3,input/data/train/images/006545_female_Asian_20/mask2.jpg
006545,1,0,m,3,input/data/train/images/006545_female_Asian_20/mask4.jpg
006545,1,0,m,3,input/data/train/images/006545_female_Asian_20/mask1.jpg
006545,1,0,m,3,input/data/train/images/006545_female_Asian_20/mask5.jpg
006545,1,0,m,3,input/data/train/images/006545_female_Asian_20/mask3.jpg
001033,1,0,n,15,input/data/train/images/001033_female_Asian_19/normal.jpg
001033,1,0,i,9,input/data/train/images/001033_female_Asian_19/incorrect_mask.jpg
001033,1,0,m,3,input/data/train/images/001033_female_Asian_19/mask2.jpg
001033,1,0,m,3,input/data/train/images/001033_female_Asian_19/mask4.jpg
001033,1,0,m,3,input/data/train/images/001033_female_Asian_19/mask1.jpg
001033,1,0,m,3,input/data/train/images/001033_female_Asian_19/mask5.jpg
001033,1,0,m,3,input/data/train/images/001033_female_Asian_19/mask3.jpg
001142,1,0,n,15,input/data/train/images/001142_female_Asian_19/normal.jpg
001142,1,0,i,9,input/data/train/images/001142_female_Asian_19/incorrect_mask.jpg
001142,1,0,m,3,input/data/train/images/001142_female_Asian_19/mask2.jpg
001142,1,0,m,3,input/data/train/images/001142_female_Asian_19/mask4.jpg
001142,1,0,m,3,input/data/train/images/001142_female_Asian_19/mask1.jpg
001142,1,0,m,3,input/data/train/images/001142_female_Asian_19/mask5.jpg
001142,1,0,m,3,input/data/train/images/001142_female_Asian_19/mask3.jpg
003220,1,0,n,15,input/data/train/images/003220_female_Asian_20/normal.jpg
003220,1,0,i,9,input/data/train/images/003220_female_Asian_20/incorrect_mask.jpg
003220,1,0,m,3,input/data/train/images/003220_female_Asian_20/mask2.jpg
003220,1,0,m,3,input/data/train/images/003220_female_Asian_20/mask4.jpg
003220,1,0,m,3,input/data/train/images/003220_female_Asian_20/mask1.jpg
003220,1,0,m,3,input/data/train/images/003220_female_Asian_20/mask5.jpg
003220,1,0,m,3,input/data/train/images/003220_female_Asian_20/mask3.jpg
001623,1,0,n,15,input/data/train/images/001623_female_Asian_19/normal.jpg
001623,1,0,i,9,input/data/train/images/001623_female_Asian_19/incorrect_mask.jpg
001623,1,0,m,3,input/data/train/images/001623_female_Asian_19/mask2.jpg
001623,1,0,m,3,input/data/train/images/001623_female_Asian_19/mask4.jpg
001623,1,0,m,3,input/data/train/images/001623_female_Asian_19/mask1.jpg
001623,1,0,m,3,input/data/train/images/001623_female_Asian_19/mask5.jpg
001623,1,0,m,3,input/data/train/images/001623_female_Asian_19/mask3.jpg
001061,0,0,n,12,input/data/train/images/001061_male_Asian_25/normal.jpg
001061,0,0,i,6,input/data/train/images/001061_male_Asian_25/incorrect_mask.jpg
001061,0,0,m,0,input/data/train/images/001061_male_Asian_25/mask2.jpg
001061,0,0,m,0,input/data/train/images/001061_male_Asian_25/mask4.jpg
001061,0,0,m,0,input/data/train/images/001061_male_Asian_25/mask1.jpg
001061,0,0,m,0,input/data/train/images/001061_male_Asian_25/mask5.jpg
001061,0,0,m,0,input/data/train/images/001061_male_Asian_25/mask3.jpg
001611,0,0,n,12,input/data/train/images/001611_male_Asian_23/normal.jpg
001611,0,0,i,6,input/data/train/images/001611_male_Asian_23/incorrect_mask.jpg
001611,0,0,m,0,input/data/train/images/001611_male_Asian_23/mask2.jpg
001611,0,0,m,0,input/data/train/images/001611_male_Asian_23/mask4.jpg
001611,0,0,m,0,input/data/train/images/001611_male_Asian_23/mask1.jpg
001611,0,0,m,0,input/data/train/images/001611_male_Asian_23/mask5.jpg
001611,0,0,m,0,input/data/train/images/001611_male_Asian_23/mask3.jpg
001378,1,1,n,16,input/data/train/images/001378_female_Asian_55/normal.jpg
001378,1,1,i,10,input/data/train/images/001378_female_Asian_55/incorrect_mask.jpg
001378,1,1,m,4,input/data/train/images/001378_female_Asian_55/mask2.jpg
001378,1,1,m,4,input/data/train/images/001378_female_Asian_55/mask4.jpg
001378,1,1,m,4,input/data/train/images/001378_female_Asian_55/mask1.jpg
001378,1,1,m,4,input/data/train/images/001378_female_Asian_55/mask5.jpg
001378,1,1,m,4,input/data/train/images/001378_female_Asian_55/mask3.jpg
001071,0,1,n,13,input/data/train/images/001071_male_Asian_45/normal.jpg
001071,0,1,i,7,input/data/train/images/001071_male_Asian_45/incorrect_mask.jpg
001071,0,1,m,1,input/data/train/images/001071_male_Asian_45/mask2.jpg
001071,0,1,m,1,input/data/train/images/001071_male_Asian_45/mask4.jpg
001071,0,1,m,1,input/data/train/images/001071_male_Asian_45/mask1.jpg
001071,0,1,m,1,input/data/train/images/001071_male_Asian_45/mask5.jpg
001071,0,1,m,1,input/data/train/images/001071_male_Asian_45/mask3.jpg
000273,1,1,n,16,input/data/train/images/000273_female_Asian_56/normal.jpg
000273,1,1,i,10,input/data/train/images/000273_female_Asian_56/incorrect_mask.jpg
000273,1,1,m,4,input/data/train/images/000273_female_Asian_56/mask2.jpg
000273,1,1,m,4,input/data/train/images/000273_female_Asian_56/mask4.jpg
000273,1,1,m,4,input/data/train/images/000273_female_Asian_56/mask1.jpg
000273,1,1,m,4,input/data/train/images/000273_female_Asian_56/mask5.jpg
000273,1,1,m,4,input/data/train/images/000273_female_Asian_56/mask3.jpg
001287,0,0,n,12,input/data/train/images/001287_male_Asian_26/normal.jpg
001287,0,0,i,6,input/data/train/images/001287_male_Asian_26/incorrect_mask.jpg
001287,0,0,m,0,input/data/train/images/001287_male_Asian_26/mask2.jpg
001287,0,0,m,0,input/data/train/images/001287_male_Asian_26/mask4.jpg
001287,0,0,m,0,input/data/train/images/001287_male_Asian_26/mask1.jpg
001287,0,0,m,0,input/data/train/images/001287_male_Asian_26/mask5.jpg
001287,0,0,m,0,input/data/train/images/001287_male_Asian_26/mask3.jpg
003092,1,0,n,15,input/data/train/images/003092_female_Asian_20/normal.jpg
003092,1,0,i,9,input/data/train/images/003092_female_Asian_20/incorrect_mask.jpg
003092,1,0,m,3,input/data/train/images/003092_female_Asian_20/mask2.jpg
003092,1,0,m,3,input/data/train/images/003092_female_Asian_20/mask4.jpg
003092,1,0,m,3,input/data/train/images/003092_female_Asian_20/mask1.jpg
003092,1,0,m,3,input/data/train/images/003092_female_Asian_20/mask5.jpg
003092,1,0,m,3,input/data/train/images/003092_female_Asian_20/mask3.jpg
003147,1,0,n,15,input/data/train/images/003147_female_Asian_20/normal.jpg
003147,1,0,i,9,input/data/train/images/003147_female_Asian_20/incorrect_mask.jpg
003147,1,0,m,3,input/data/train/images/003147_female_Asian_20/mask2.jpg
003147,1,0,m,3,input/data/train/images/003147_female_Asian_20/mask4.jpg
003147,1,0,m,3,input/data/train/images/003147_female_Asian_20/mask1.jpg
003147,1,0,m,3,input/data/train/images/003147_female_Asian_20/mask5.jpg
003147,1,0,m,3,input/data/train/images/003147_female_Asian_20/mask3.jpg
003157,1,0,n,15,input/data/train/images/003157_female_Asian_20/normal.jpg
003157,1,0,i,9,input/data/train/images/003157_female_Asian_20/incorrect_mask.jpg
003157,1,0,m,3,input/data/train/images/003157_female_Asian_20/mask2.jpg
003157,1,0,m,3,input/data/train/images/003157_female_Asian_20/mask4.jpg
003157,1,0,m,3,input/data/train/images/003157_female_Asian_20/mask1.jpg
003157,1,0,m,3,input/data/train/images/003157_female_Asian_20/mask5.jpg
003157,1,0,m,3,input/data/train/images/003157_female_Asian_20/mask3.jpg
005264,0,0,n,12,input/data/train/images/005264_male_Asian_22/normal.jpg
005264,0,0,i,6,input/data/train/images/005264_male_Asian_22/incorrect_mask.jpg
005264,0,0,m,0,input/data/train/images/005264_male_Asian_22/mask2.jpg
005264,0,0,m,0,input/data/train/images/005264_male_Asian_22/mask4.jpg
005264,0,0,m,0,input/data/train/images/005264_male_Asian_22/mask1.jpg
005264,0,0,m,0,input/data/train/images/005264_male_Asian_22/mask5.jpg
005264,0,0,m,0,input/data/train/images/005264_male_Asian_22/mask3.jpg
000545,1,1,n,16,input/data/train/images/000545_female_Asian_58/normal.jpg
000545,1,1,i,10,input/data/train/images/000545_female_Asian_58/incorrect_mask.jpg
000545,1,1,m,4,input/data/train/images/000545_female_Asian_58/mask2.jpg
000545,1,1,m,4,input/data/train/images/000545_female_Asian_58/mask4.jpg
000545,1,1,m,4,input/data/train/images/000545_female_Asian_58/mask1.jpg
000545,1,1,m,4,input/data/train/images/000545_female_Asian_58/mask5.jpg
000545,1,1,m,4,input/data/train/images/000545_female_Asian_58/mask3.jpg
003469,1,1,n,16,input/data/train/images/003469_female_Asian_55/normal.jpg
003469,1,1,i,10,input/data/train/images/003469_female_Asian_55/incorrect_mask.jpg
003469,1,1,m,4,input/data/train/images/003469_female_Asian_55/mask2.jpg
003469,1,1,m,4,input/data/train/images/003469_female_Asian_55/mask4.jpg
003469,1,1,m,4,input/data/train/images/003469_female_Asian_55/mask1.jpg
003469,1,1,m,4,input/data/train/images/003469_female_Asian_55/mask5.jpg
003469,1,1,m,4,input/data/train/images/003469_female_Asian_55/mask3.jpg
001635,0,1,n,13,input/data/train/images/001635_male_Asian_45/normal.jpg
001635,0,1,i,7,input/data/train/images/001635_male_Asian_45/incorrect_mask.jpg
001635,0,1,m,1,input/data/train/images/001635_male_Asian_45/mask2.jpg
001635,0,1,m,1,input/data/train/images/001635_male_Asian_45/mask4.jpg
001635,0,1,m,1,input/data/train/images/001635_male_Asian_45/mask1.jpg
001635,0,1,m,1,input/data/train/images/001635_male_Asian_45/mask5.jpg
001635,0,1,m,1,input/data/train/images/001635_male_Asian_45/mask3.jpg
006494,1,0,n,15,input/data/train/images/006494_female_Asian_18/normal.jpg
006494,1,0,i,9,input/data/train/images/006494_female_Asian_18/incorrect_mask.jpg
006494,1,0,m,3,input/data/train/images/006494_female_Asian_18/mask2.jpg
006494,1,0,m,3,input/data/train/images/006494_female_Asian_18/mask4.jpg
006494,1,0,m,3,input/data/train/images/006494_female_Asian_18/mask1.jpg
006494,1,0,m,3,input/data/train/images/006494_female_Asian_18/mask5.jpg
006494,1,0,m,3,input/data/train/images/006494_female_Asian_18/mask3.jpg
003511,0,1,n,13,input/data/train/images/003511_male_Asian_54/normal.jpg
003511,0,1,i,7,input/data/train/images/003511_male_Asian_54/incorrect_mask.jpg
003511,0,1,m,1,input/data/train/images/003511_male_Asian_54/mask2.jpg
003511,0,1,m,1,input/data/train/images/003511_male_Asian_54/mask4.jpg
003511,0,1,m,1,input/data/train/images/003511_male_Asian_54/mask1.jpg
003511,0,1,m,1,input/data/train/images/003511_male_Asian_54/mask5.jpg
003511,0,1,m,1,input/data/train/images/003511_male_Asian_54/mask3.jpg
006377,0,0,n,12,input/data/train/images/006377_male_Asian_19/normal.jpg
006377,0,0,i,6,input/data/train/images/006377_male_Asian_19/incorrect_mask.jpg
006377,0,0,m,0,input/data/train/images/006377_male_Asian_19/mask2.jpg
006377,0,0,m,0,input/data/train/images/006377_male_Asian_19/mask4.jpg
006377,0,0,m,0,input/data/train/images/006377_male_Asian_19/mask1.jpg
006377,0,0,m,0,input/data/train/images/006377_male_Asian_19/mask5.jpg
006377,0,0,m,0,input/data/train/images/006377_male_Asian_19/mask3.jpg
003885,1,1,n,16,input/data/train/images/003885_female_Asian_52/normal.jpg
003885,1,1,i,10,input/data/train/images/003885_female_Asian_52/incorrect_mask.jpg
003885,1,1,m,4,input/data/train/images/003885_female_Asian_52/mask2.jpg
003885,1,1,m,4,input/data/train/images/003885_female_Asian_52/mask4.jpg
003885,1,1,m,4,input/data/train/images/003885_female_Asian_52/mask1.jpg
003885,1,1,m,4,input/data/train/images/003885_female_Asian_52/mask5.jpg
003885,1,1,m,4,input/data/train/images/003885_female_Asian_52/mask3.jpg
005448,1,1,n,16,input/data/train/images/005448_female_Asian_54/normal.jpg
005448,1,1,i,10,input/data/train/images/005448_female_Asian_54/incorrect_mask.jpg
005448,1,1,m,4,input/data/train/images/005448_female_Asian_54/mask2.jpg
005448,1,1,m,4,input/data/train/images/005448_female_Asian_54/mask4.jpg
005448,1,1,m,4,input/data/train/images/005448_female_Asian_54/mask1.jpg
005448,1,1,m,4,input/data/train/images/005448_female_Asian_54/mask5.jpg
005448,1,1,m,4,input/data/train/images/005448_female_Asian_54/mask3.jpg
001443,1,1,n,16,input/data/train/images/001443_female_Asian_45/normal.jpg
001443,1,1,i,10,input/data/train/images/001443_female_Asian_45/incorrect_mask.jpg
001443,1,1,m,4,input/data/train/images/001443_female_Asian_45/mask2.jpg
001443,1,1,m,4,input/data/train/images/001443_female_Asian_45/mask4.jpg
001443,1,1,m,4,input/data/train/images/001443_female_Asian_45/mask1.jpg
